rid,current_station,current_delay,date_of_service,final_delay
202401058901187,WEY,1.0,2024-01-05,4.0
202401058901192,WEY,-1.0,2024-01-05,-1.0
202401058901197,WEY,-1.0,2024-01-05,4.0
202401058901202,WEY,-1.0,2024-01-05,11.0
202401058901210,WEY,5.0,2024-01-05,-1.0
202401067622389,WEY,-1.0,2024-01-06,0.0
202401068901079,WEY,-1.0,2024-01-06,0.0
202401068901081,WEY,0.0,2024-01-06,
202401068901084,WEY,0.0,2024-01-06,
202401068901087,WEY,0.0,2024-01-06,
202401068901091,WEY,-1.0,2024-01-06,
202401068901096,WEY,0.0,2024-01-06,
202401068901100,WEY,,2024-01-06,
202401068901105,WEY,2.0,2024-01-06,-2.0
202401068901109,WEY,0.0,2024-01-06,1.0
202401068901114,WEY,0.0,2024-01-06,-2.0
202401068901119,WEY,0.0,2024-01-06,26.0
202401068901124,WEY,0.0,2024-01-06,0.0
202401068901229,WEY,-1.0,2024-01-06,-1.0
202401068901231,WEY,-1.0,2024-01-06,-1.0
202401078901115,WEY,-1.0,2024-01-07,30.0
202401078901125,WEY,-1.0,2024-01-07,3.0
202401078901133,WEY,-1.0,2024-01-07,0.0
202401078901137,WEY,0.0,2024-01-07,-1.0
202401078901139,WEY,0.0,2024-01-07,1.0
202401078901142,WEY,-3.0,2024-01-07,-1.0
202401078901149,WEY,-1.0,2024-01-07,3.0
202401078901159,WEY,-1.0,2024-01-07,1.0
202401078901169,WEY,1.0,2024-01-07,7.0
202401078901179,WEY,-1.0,2024-01-07,4.0
202401078901189,WEY,16.0,2024-01-07,6.0
202401078901199,WEY,-1.0,2024-01-07,-1.0
202401078901207,WEY,-1.0,2024-01-07,-8.0
202401078901215,WEY,-1.0,2024-01-07,1.0
202401087622346,WEY,0.0,2024-01-08,-1.0
202401088901078,WEY,-1.0,2024-01-08,-2.0
202401088901080,WEY,1.0,2024-01-08,0.0
202401088901083,WEY,4.0,2024-01-08,-3.0
202401088901086,WEY,0.0,2024-01-08,6.0
202401088901090,WEY,0.0,2024-01-08,-2.0
202401088901095,WEY,-1.0,2024-01-08,
202401088901099,WEY,0.0,2024-01-08,3.0
202401088901104,WEY,0.0,2024-01-08,5.0
202401088901108,WEY,-1.0,2024-01-08,9.0
202401088901113,WEY,0.0,2024-01-08,4.0
202401088901118,WEY,2.0,2024-01-08,11.0
202401088901123,WEY,0.0,2024-01-08,-6.0
202401088901132,WEY,0.0,2024-01-08,0.0
202401088901147,WEY,-1.0,2024-01-08,3.0
202401088901152,WEY,-1.0,2024-01-08,-1.0
202401088901157,WEY,0.0,2024-01-08,1.0
202401088901162,WEY,-1.0,2024-01-08,1.0
